id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14714,Private room c/ bathroom . Colonia Juarez.,57785,Diego,,Cuauhtémoc,19.43035,-99.15511,Private room,478,2,0,,,2,327
22787,"Sunny suite w/ queen size bed, inside boutique B&B",87973,Diego,,Cuauhtémoc,19.44076,-99.16324,Private room,1969,1,57,2019-05-27,0.52,9,355
33681,Couple of Rooms,145672,Edubiel,,Tlalpan,19.27215,-99.21848,Private room,1740,1,0,,,1,365
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38399,-99.27335,Entire home/apt,3823,1,0,,,2,363
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41006,-99.17645,Private room,1893,1,39,2019-05-02,0.42,10,334
58955,Entire beautiful duplex in la Roma,282620,Nat,,Cuauhtémoc,19.42292,-99.15775,Entire home/apt,1625,3,39,2019-05-28,0.43,1,178
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,,Cuauhtémoc,19.41259,-99.17959,Private room,956,2,51,2019-04-05,2.55,3,180
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41375,-99.17028,Entire home/apt,1816,2,39,2019-02-24,0.42,3,361
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35601,-99.16167,Entire home/apt,1051,3,92,2019-04-12,1.03,4,295
70737,Great studio Coyoacan!,212109,Trisha,,Coyoacán,19.35466,-99.16304,Entire home/apt,1128,3,31,2015-07-20,0.31,4,327
75615,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.36585,-99.27911,Private room,3823,1,0,,,2,88
98378,Up to -30% in last-minute stays & Summer Special,519159,Jorge & Monnah,,Miguel Hidalgo,19.40236,-99.18163,Entire home/apt,4569,2,138,2019-06-19,1.50,13,201
99972,Dreamy suite w/ king size bed in boutique B&B,87973,Diego,,Cuauhtémoc,19.44268,-99.16371,Private room,2753,1,0,,,9,324
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.4313,-99.19438,Entire home/apt,4110,4,8,2019-06-17,0.21,2,345
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35266,-99.16338,Private room,1568,1,0,,,3,0
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40675,-99.18798,Entire home/apt,1051,2,255,2019-06-08,2.65,4,247
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39549,-99.17616,Private room,287,4,58,2019-05-13,0.90,2,364
175504,"Casa Comtesse B&B, Gallery Hotel, 8 rooms",838896,Thomas Pierre,,Cuauhtémoc,19.40631,-99.17303,Private room,1415,1,51,2019-02-24,0.58,6,3
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.42428,-99.16843,Entire home/apt,1032,3,34,2019-06-15,0.39,1,268
187030,Two bedroom apartment in Condesa,899360,Julian,,Cuauhtémoc,19.41033,-99.17647,Entire home/apt,1625,4,91,2019-06-02,0.98,6,153
187745,Spacious one bedroom apt in Condesa,899360,Julian,,Cuauhtémoc,19.41086,-99.17704,Entire home/apt,1816,2,24,2018-01-03,0.35,6,89
194937,One bedroom apartment in Condesa -1,899360,Julian,,Cuauhtémoc,19.41113,-99.17762,Entire home/apt,1625,2,53,2019-05-04,0.58,6,316
198778,Smack in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.41395,-99.17948,Entire home/apt,918,2,160,2019-06-17,1.69,3,186
204887,"Condesa-Roma, great place to stay!",998053,MaryJo,,Miguel Hidalgo,19.40409,-99.17731,Entire home/apt,803,3,23,2019-05-30,0.27,1,363
216833,LOFT Condesa,1119202,Anuar,,Cuauhtémoc,19.40621,-99.17287,Entire home/apt,1300,5,1,2019-02-28,0.26,1,364
217685,"Condesa, one of the best zones.",184410,Veronica,,Cuauhtémoc,19.40454,-99.1715,Entire home/apt,956,6,2,2015-04-06,0.04,1,217
245507,TRENDY APARTMENT IN ZONA ROSA / JUAREZ DISTRICT,1288063,Rodolfo & Francisco,,Cuauhtémoc,19.4251,-99.17067,Entire home/apt,1319,1,250,2019-06-07,2.67,16,0
246057,HIP APARTMENT ONE BLOCK REFORMA,1288063,Rodolfo & Francisco,,Cuauhtémoc,19.42373,-99.1714,Entire home/apt,1434,1,230,2019-05-12,2.47,16,365
247543,"Independent studio, top location",1297488,Petra,,Cuauhtémoc,19.43417,-99.13744,Private room,574,3,79,2019-02-25,0.86,7,305
252618,"""Chavela"" Private & Furnished Room",1326107,Jacqueline,,Cuauhtémoc,19.41328,-99.15513,Private room,325,5,16,2017-09-30,0.17,3,23
255354,Tours in Mexico city,855066,Andrea,,Azcapotzalco,19.49886,-99.19172,Private room,631,1,10,2019-06-14,1.36,1,0
256555,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40631,-99.18691,Entire home/apt,1051,2,236,2019-05-27,2.57,4,247
261897,Charming 1BR flat in Roma/Condesa,1373924,Eric,,Cuauhtémoc,19.41835,-99.17363,Entire home/apt,1185,2,322,2019-05-28,3.54,1,56
271048,Great location in Mexico City!,1417206,Ma. Carmen,,Miguel Hidalgo,19.42686,-99.17838,Entire home/apt,1740,5,13,2018-02-01,0.14,1,115
276504,High End Condo with golf package,1444589,Michael,,Iztacalco,19.38258,-99.12736,Entire home/apt,1912,7,0,,,1,365
281134,COOL PENT HOUSE APARTMENT @CONDESA,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41125,-99.17634,Entire home/apt,2753,1,6,2019-04-07,0.11,10,343
287015,SUPER DEAL MONTHLY STAYS / COMFORT / FAST WIFI!,1138171,Tony De Marco,,Cuauhtémoc,19.4128,-99.16387,Private room,4779,7,3,2012-07-24,0.03,3,364
287940,Furnished lovely cozy studio,1497087,Penelope,,Cuauhtémoc,19.41247,-99.17485,Entire home/apt,956,1,257,2019-05-31,3.60,10,336
291804,A nice room with great location,1511568,Luis Ernesto,,Benito Juárez,19.36294,-99.15415,Private room,574,2,0,,,1,365
298873,"The ""home"" feeling in Mexico City!",1539548,Paulina,,Cuauhtémoc,19.43327,-99.14527,Entire home/apt,1816,3,118,2019-06-09,1.35,1,58
323030,Comfy in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.4157,-99.17747,Entire home/apt,918,2,175,2019-05-28,1.99,3,180
324769,2Room new apartment in modern complex,1661848,David,,Miguel Hidalgo,19.45809,-99.19258,Entire home/apt,669,2,33,2019-05-08,0.45,1,365
325812,"Confortable private room, downtown Mexico City.",1666388,Angeles (Anjali),,Cuauhtémoc,19.43453,-99.14675,Private room,650,3,102,2019-02-23,1.57,1,358
326296,WONDERFUL ROOM IN COYOACAN HOUSE,1664327,Edoardo & Maria,,Coyoacán,19.34004,-99.18273,Private room,382,2,153,2019-06-17,1.99,2,287
326475,Room in contemporary chic apartment-LA ROMA,1670032,Isabel,,Cuauhtémoc,19.41297,-99.15735,Private room,650,1,69,2019-06-02,1.36,2,14
326865,"Tlalpan, Zona de Hospitales",1671446,Eugenia,,Tlalpan,19.28581,-99.16064,Private room,268,3,28,2019-04-30,0.55,4,267
326885,2 rooms in shared area.,1671446,Eugenia,,Tlalpan,19.28712,-99.16213,Private room,268,3,19,2019-06-08,0.25,4,327
329532,Stay at a meditation center,1681966,Ra Fa El -- Nahui Cuauhtli,,Cuauhtémoc,19.41007,-99.13434,Private room,382,22,0,,,3,358
329776,Habitación Verde.,1683373,Miguel,,Tlalpan,19.27428,-99.1781,Private room,382,2,15,2019-05-31,0.65,5,349
331788,"CONDESA COZY, COMFORTABLE APARTMENT",1691633,Sandro & Ines,,Cuauhtémoc,19.41942,-99.17373,Entire home/apt,1472,3,305,2019-06-19,3.44,1,350
341479,"modern,styled appt!",1732353,Karen,,Benito Juárez,19.37923,-99.18833,Entire home/apt,516,1,0,,,1,0
344439,habitación con baño Mexico city ,1747101,Gaby,,Venustiano Carranza,19.4346,-99.10929,Private room,1243,1,0,,,1,365
347754,Great Place to stay,1762542,Rosario,,Coyoacán,19.35179,-99.14956,Private room,765,1,0,,,1,365
350079,beautiful furnished room Rome area,1773936,Elizabeth,,Cuauhtémoc,19.40421,-99.16553,Private room,1051,5,0,,,1,365
357324,Recámara luminosa y jardín,1808252,Sara,,Miguel Hidalgo,19.40215,-99.24135,Private room,1912,1,0,,,1,365
361316,Big and cozy bedroom in DF.,1525960,Abril,,Miguel Hidalgo,19.40276,-99.18536,Private room,382,2,0,,,1,364
362583,Modern 2 Bedroom Apt. Near Reforma,1832239,Maria  & Jennifer,,Cuauhtémoc,19.42947,-99.17083,Entire home/apt,1510,2,17,2018-10-14,0.22,1,315
370092,Condesa Roma WTC Studio Parking,618769,Ricardo,,Cuauhtémoc,19.40179,-99.17009,Entire home/apt,650,1,260,2019-06-04,2.96,3,322
375032,DISTRITO CONDESA B&B  relax enjoy,1886913,Distrito Condesa,,Cuauhtémoc,19.40746,-99.17482,Private room,1357,1,43,2019-04-28,0.50,10,362
382712,SALUDOS MI NOMBRE ES FERNANDO,1918084,Fernando,,Azcapotzalco,19.45803,-99.17289,Private room,707,1,0,,,1,365
382904,Cute Sofa Bed in South Mexico City,1915348,Lucrecia,,Benito Juárez,19.36905,-99.18303,Shared room,956,1,0,,,1,365
386265,"Room in colonial, green, enjoyable COYOACAN",1933252,Esther,,Coyoacán,19.34303,-99.15425,Private room,268,3,8,2019-03-26,0.13,2,341
393788,"Perfect room lovely house, Roma",1931592,Susana,,Cuauhtémoc,19.40586,-99.15857,Private room,535,3,2,2018-02-14,0.02,2,364
394589,"1 BDR ap in Ciudad de México "" STUDIO YEE "" - 1",931849,Carlos,,Cuauhtémoc,19.42499,-99.17479,Private room,344,7,19,2018-10-31,0.57,3,176
395446,One bedroom apartment in Condesa -2,899360,Julian,,Cuauhtémoc,19.40974,-99.17811,Entire home/apt,1969,5,12,2016-10-20,0.15,6,176
397408,wonderfully located apartment,1964369,Ana,,Miguel Hidalgo,19.43858,-99.21286,Entire home/apt,918,2,143,2019-06-21,1.66,1,360
400047,Incredible apartment in Condesa,1905087,Constanza,,Cuauhtémoc,19.41489,-99.169,Entire home/apt,1434,1,8,2019-02-26,0.17,3,0
400048,Wonderful stay in la Condesa Mexico,1905087,Constanza,,Cuauhtémoc,19.4058,-99.1756,Private room,956,1,0,,,3,365
419110,Comfy clean Roøm @Cozy apartment,2084312,Sara,,Cuauhtémoc,19.41238,-99.17722,Private room,535,3,52,2019-06-02,1.46,1,25
421607,Your Mexican home,1222626,Eder,,Benito Juárez,19.40314,-99.15164,Private room,306,5,16,2015-06-03,0.19,5,365
422159,"Nice Studio, 50 mts of terrace.",2099653,Antonio,,Benito Juárez,19.38942,-99.1358,Private room,421,3,7,2019-05-09,0.40,4,327
433876,Comfy Room 10 mins UAM-Iztapalapa,2142017,Itzel & Maribel,,Iztapalapa,19.35654,-99.0803,Private room,268,2,35,2019-06-21,0.41,1,354
450938,Be free on Mexico City. all Combo!!,2239328,Juan Cristobal,,Cuauhtémoc,19.46137,-99.16074,Private room,956,1,0,,,1,365
454077,Explore the City's Historic Center,2256144,Fernanda,,Cuauhtémoc,19.42577,-99.13721,Private room,478,1,2,2017-09-16,0.03,1,365
454693,"Condesa, ideal location apartment",1601561,Sylvia Eugenia,,Cuauhtémoc,19.40618,-99.17342,Entire home/apt,1147,1,195,2019-05-19,2.31,1,276
456409,habitación privada cerca de polanco,2269083,Alondra,,Miguel Hidalgo,19.44338,-99.18841,Private room,191,2,44,2017-03-20,0.52,5,317
456461,Lit room with balcony new Polanco,2269083,Alondra,,Miguel Hidalgo,19.44496,-99.18658,Shared room,325,2,61,2016-01-08,0.72,5,128
457700,Studio Chapultepec Mexico City,2275010,Mariana,,Miguel Hidalgo,19.41471,-99.18563,Private room,956,3,4,2018-12-14,0.25,1,362
458808,Furnished suites exelent location,2281290,Suites,,Cuauhtémoc,19.42741,-99.16022,Entire home/apt,860,7,6,2019-03-18,0.14,24,331
480752,Lots of light & views in Condesa MX,1921943,Jeppe,,Cuauhtémoc,19.41766,-99.1764,Entire home/apt,1682,2,158,2019-05-27,2.01,1,161
486913,DF51 Apartamento céntrico  y tranquilo,2409917,Darío,,Cuauhtémoc,19.438,-99.162,Entire home/apt,650,2,11,2018-06-03,0.13,1,241
489774,Luxury Apt. Plaza Carso Polanco,2415111,Max,,Miguel Hidalgo,19.4435,-99.20307,Entire home/apt,1338,4,38,2019-05-10,0.79,2,348
491412,Luxury Room for rent in Mexico City,2428947,Esther,,Miguel Hidalgo,19.38845,-99.24108,Private room,1281,6,0,,,1,173
499553,"Deluxe 4-BR penthouse, views, historic center",1297488,Petra,,Cuauhtémoc,19.4345,-99.13877,Entire home/apt,7264,3,22,2019-01-05,0.26,7,261
499676,"Fabulous 3BR penthouse, Views, Historic Center",1297488,Petra,,Cuauhtémoc,19.43493,-99.13883,Entire home/apt,6691,3,2,2014-12-14,0.02,7,251
517503,Nice big room near airport,2547499,Irma,,Venustiano Carranza,19.43852,-99.08118,Private room,554,1,77,2019-05-21,5.19,2,364
521867,Beautiful  bedroom in Mexico City near Sta Fe,2566613,Flor,,Álvaro Obregón,19.38751,-99.22409,Private room,478,2,0,,,1,87
527473,Roma Condesa Espectacular Home,158585,Fernando,,Cuauhtémoc,19.41848,-99.17195,Entire home/apt,2466,1,119,2019-06-14,1.43,8,323
544105,"New Polanco, great location 4 work/short holiday",2674950,Elizabeth,,Miguel Hidalgo,19.44236,-99.20128,Private room,574,2,14,2019-05-25,0.59,1,164
550908,Haven in Coyoacan,2707742,Paloma,,Coyoacán,19.34997,-99.17214,Entire home/apt,1147,3,0,,,1,363
552666,LOVELY COMFY BRIGHT FLAT DOWNTOWN!!,2715914,Emiliano,,Cuauhtémoc,19.42791,-99.15133,Entire home/apt,1243,5,63,2019-05-26,0.75,1,318
555663,NICE FURNISHED PLACE WELL LOCATED PH with RG,2732644,Paola,,Cuauhtémoc,19.42857,-99.15599,Entire home/apt,1701,1,11,2019-04-20,0.22,2,365
561743,amazing flat in the heart of CONDES,2761952,Fatima,,Cuauhtémoc,19.40735,-99.18078,Entire home/apt,1204,1,2,2019-04-14,0.04,1,114
567176,céntrico cuarto en el D.F.,2336127,Ana Karen,,Cuauhtémoc,19.4545,-99.15792,Private room,191,7,21,2019-03-31,0.44,1,362
571166,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41131,-99.1769,Entire home/apt,2504,1,1,2019-02-08,0.22,10,341
579534,"""Frida"" beautiful Private Room ",1326107,Jacqueline,,Cuauhtémoc,19.41484,-99.15613,Private room,401,5,8,2017-03-02,0.11,3,0
583039,"Balcony Amazing Views, AC, Personlized Tours 12D",2872228,Bruce,,Cuauhtémoc,19.43269,-99.14547,Entire home/apt,1644,3,42,2019-05-27,0.52,17,234
587677,Great room with nice terrace 15 min to Santa Fe,1969754,Luigui,,Álvaro Obregón,19.34365,-99.22526,Private room,669,1,0,,,1,0
607833,Apartment close to the Basílica.,1849414,Omar,,Gustavo A. Madero,19.48311,-99.11389,Private room,382,3,6,2016-06-01,0.09,1,87
608312,Trendy Condesa nice room for rent..,1969996,Gloria,,Cuauhtémoc,19.40716,-99.17694,Private room,1109,2,28,2018-06-22,0.36,5,296
609594,Room in Xochimilco,2223274,Luis,,Xochimilco,19.26501,-99.1134,Entire home/apt,478,4,11,2018-01-25,0.21,1,327
610914,"Stylish 2BR penthouse, views, in Historic Center",1297488,Petra,,Cuauhtémoc,19.43449,-99.13916,Entire home/apt,4779,2,1,2015-10-12,0.02,7,265
611179,"Spectacular 1BR Penthouse, Views, Historic Center",1297488,Petra,,Cuauhtémoc,19.43627,-99.13763,Entire home/apt,4206,3,1,2016-10-17,0.03,7,251
611337,"Magnificent 2-BR apartment, views",1297488,Petra,,Cuauhtémoc,19.43611,-99.1386,Entire home/apt,5735,3,4,2016-12-24,0.08,7,251
613181,90m2 / Mexico City's Hist. downtown,3040937,Jano,,Cuauhtémoc,19.43888,-99.13617,Entire home/apt,1893,3,159,2019-06-08,1.90,1,353
617137,Apt near Mexico City's downtown,3059169,Andoni,,Cuauhtémoc,19.44722,-99.16065,Shared room,1912,1,0,,,1,365
618711,Mini hostel double bed girls,2269083,Alondra,,Miguel Hidalgo,19.44566,-99.18688,Shared room,191,2,60,2019-04-09,0.73,5,128
628081,"Sunny comfy flat,great location!",2991302,Laura,,Cuauhtémoc,19.41789,-99.17209,Entire home/apt,1644,3,204,2019-06-23,2.56,1,229
635324,Lovely studio in colonial San Angel,264422,Regina & Romain,,Álvaro Obregón,19.35323,-99.19343,Entire home/apt,765,1,130,2019-06-10,1.63,2,283
640803,"Juan O'Gorman House - Studio, ",3200155,Paulina,,Álvaro Obregón,19.35002,-99.19902,Entire home/apt,6270,4,22,2017-05-19,0.27,2,362
642797,"Big Penthouse, Unmatched View. Great Location.",3151538,Leon,,Miguel Hidalgo,19.4143,-99.18042,Entire home/apt,7628,2,79,2019-05-29,1.00,1,164
650092,BONITO Y CÉNTRICO,3264739,Bania  Alejandra,,Cuauhtémoc,19.43917,-99.15854,Private room,440,7,10,2014-07-14,0.12,2,363
654040,Private room in nice apartment,3289927,Yaotl,,Miguel Hidalgo,19.44187,-99.18437,Private room,554,3,1,2016-08-03,0.03,2,296
654106,1 private room in a nice apartment,3289927,Yaotl,,Miguel Hidalgo,19.44185,-99.18494,Private room,554,5,1,2013-12-21,0.01,2,296
655422,"Comfortable and luminous house, 3 levels, 1-10 prs",3299226,Carlos,,Venustiano Carranza,19.41451,-99.11776,Entire home/apt,1128,2,45,2019-05-05,0.54,1,342
658910,"Room in Mexico city, Safe & Nice",1500662,Christelle,,La Magdalena Contreras,19.33048,-99.21342,Private room,574,1,10,2019-06-10,0.17,1,0
674320,"Condesa Gem: Space, Beauty, Location & Safety",1461534,Adolfo,,Cuauhtémoc,19.40897,-99.17146,Entire home/apt,2275,1,180,2019-05-25,2.19,2,84
691019,Modern Complex in Historic District⭐️,3531879,Gonzalo & Sandra,,Cuauhtémoc,19.4314,-99.14397,Entire home/apt,1625,2,208,2019-06-12,2.54,3,311
696031,Simple y Práctico a 2 cuadras de Polanco,3531879,Gonzalo & Sandra,,Miguel Hidalgo,19.44298,-99.18343,Entire home/apt,937,2,141,2019-05-13,1.79,3,325
696037,"3 Bedrooms, 2 blocks from Polanco - ALL RENOVATED!",3531879,Gonzalo & Sandra,,Miguel Hidalgo,19.44284,-99.18504,Entire home/apt,1491,24,35,2019-02-09,0.43,3,257
697933,"Apt. Mural 1, ideal couples, near WTC & Condesa",519159,Jorge & Monnah,,Miguel Hidalgo,19.40186,-99.18319,Entire home/apt,937,3,34,2018-08-12,0.44,13,10
704761,"Amazing Suite,ideal couples,near the WTC & Condesa",519159,Jorge & Monnah,,Miguel Hidalgo,19.4019,-99.18309,Entire home/apt,937,3,29,2018-08-12,0.36,13,10
704779,"Historic Centre, Private Tours, Lap Pool, Gym 104",2872228,Bruce,,Cuauhtémoc,19.43056,-99.14725,Entire home/apt,1166,3,9,2019-05-27,0.13,17,248
714392,Suite en Polanco con encanto :D,3477536,Claudia,,Miguel Hidalgo,19.43648,-99.18578,Entire home/apt,669,3,66,2019-06-16,0.82,1,345
717874,bachelor for rent,3701050,Jorge Mario,,Cuauhtémoc,19.4117,-99.17821,Private room,1338,1,0,,,1,365
728372,Casa Indigo in the Center DF groups until 29 Pers,3777702,Abraham,,Cuauhtémoc,19.44371,-99.14442,Entire home/apt,3231,1,99,2019-01-16,1.22,6,303
729898,HEART OF CONDESA  ART DECO BUILDING,1288063,Rodolfo & Francisco,,Cuauhtémoc,19.41374,-99.16664,Entire home/apt,1721,1,238,2019-06-09,3.00,16,0
736107,Best Location at La Roma-Condesa,3800330,Yas,,Cuauhtémoc,19.42397,-99.15571,Entire home/apt,1109,3,252,2019-05-05,3.81,1,147
737328,Business Suite BEIGE near Reforma,3850198,Hermann,,Cuauhtémoc,19.42992,-99.16958,Entire home/apt,1051,3,14,2019-03-24,0.18,10,348
741557,Business Suite ORANGE near Reforma,3850198,Hermann,,Cuauhtémoc,19.43034,-99.16985,Entire home/apt,1051,5,6,2017-12-21,0.08,10,266
741564,A great place to be. ONE,3881522,Misantla,,Cuauhtémoc,19.40574,-99.15776,Private room,287,4,82,2018-03-18,1.05,3,174
741663,Beautiful full furnished apartmente,3882003,Vera,,Cuajimalpa de Morelos,19.36561,-99.27728,Entire home/apt,1147,360,0,,,1,365
757338,"5 rooms common areas, private residence, La casa",3991683,Leonora,,Coyoacán,19.34424,-99.16949,Private room,3059,3,26,2019-04-02,0.33,3,354
758602,In the best location in Mexico,3996052,Ivonne,,Benito Juárez,19.37498,-99.18241,Private room,707,1,0,,,1,362
760912,"Stylish bachelor pad in La Roma, DF",3817743,Max,,Cuauhtémoc,19.40975,-99.1621,Private room,765,1,5,2016-01-30,0.06,1,363
773150,LOVELY LITTLE HOUSE COYOACAN,4079778,Rosa Maria,,Coyoacán,19.34604,-99.15938,Entire home/apt,860,3,12,2018-11-19,0.16,4,174
783480,"Area Sta.Fe,IberoABC Hospital Rooms",4129056,Janet,,Cuajimalpa de Morelos,19.35213,-99.28565,Private room,401,2,26,2018-12-16,0.41,2,358
783609,Apartment 3 blocks from Bellas Arte,4131894,Francisco Fidel,,Cuauhtémoc,19.43345,-99.13883,Entire home/apt,1797,3,53,2019-06-09,2.73,1,332
796477,Classic but Modern Apartment,4195771,Jair,,Cuauhtémoc,19.41633,-99.17505,Private room,516,2,123,2019-02-19,2.24,1,361
811088,Sunny 2-bdr. apartment in Condesa! ,76304,Cata,,Cuauhtémoc,19.41465,-99.17811,Entire home/apt,1243,4,11,2019-05-25,0.14,3,281
822005,AMAZING LOFT in the heart of CDMX,4316391,Alejandro,,Miguel Hidalgo,19.40321,-99.17758,Entire home/apt,1090,4,45,2019-03-31,0.63,1,289
824016,Suite 5 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40846,-99.17346,Entire home/apt,898,4,45,2019-05-06,0.63,6,230
826691,Suite 7 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.41016,-99.1739,Entire home/apt,803,3,18,2019-05-11,0.26,6,236
826760,Suite 12 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40997,-99.17277,Entire home/apt,994,4,14,2019-04-20,0.18,6,189
828714,Apartment with Internet & 2 cable TV's,4344353,Miriam,,Coyoacán,19.34277,-99.15553,Entire home/apt,1434,1,25,2018-05-21,0.75,1,266
832805,Casa Indigo in the Center Mex City 10-29 Persons,3777702,Abraham,,Cuauhtémoc,19.44286,-99.14719,Entire home/apt,3231,1,118,2019-02-04,1.49,6,306
840176,department only men share,2828190,Alejandro,,Miguel Hidalgo,19.41007,-99.19358,Private room,306,1,0,,,4,365
844818,Well located on calm neighborhood,4410326,Fernando,,Benito Juárez,19.38265,-99.18203,Private room,421,1,6,2013-11-19,0.08,1,365
858277,"Beautiful, Big apartment, Condesa,",3200155,Paulina,,Cuauhtémoc,19.41496,-99.17367,Entire home/apt,3403,3,124,2019-05-27,1.57,2,354
859081,Centric Mexico City,3241560,Dora,,Benito Juárez,19.39168,-99.1629,Entire home/apt,765,1,1,2013-04-03,0.01,1,339
864999,"airy, lovely room in private residence, Girasol",3991683,Leonora,,Coyoacán,19.34392,-99.16939,Private room,860,3,7,2014-07-11,0.10,3,362
865012,Business Suite RED near Reforma Av.,3850198,Hermann,,Cuauhtémoc,19.42994,-99.16954,Entire home/apt,1051,4,26,2019-03-20,0.34,10,339
865017,"Elegant b & b room, Coyoacan",3991683,Leonora,,Coyoacán,19.34434,-99.17107,Private room,956,3,3,2014-10-29,0.04,3,365
868843,Business Suite PURPLE near Reforma,3850198,Hermann,,Cuauhtémoc,19.43099,-99.17047,Entire home/apt,956,4,18,2019-02-09,0.30,10,359
868986,Business Suite BLUE near Reforma Av,3850198,Hermann,,Cuauhtémoc,19.43038,-99.16972,Entire home/apt,956,4,10,2018-12-10,0.13,10,342
869063,Business Suite BLACK near Reforma,3850198,Hermann,,Cuauhtémoc,19.42984,-99.16936,Entire home/apt,956,3,7,2019-04-21,0.17,10,342
883511,CASA INDIGO 3 IN THE CENTER OF MEX. CITY,3777702,Abraham,,Cuauhtémoc,19.44199,-99.14654,Private room,363,1,166,2019-06-15,2.13,6,302
896522,"592 ft at Downtown, Mexico City",4647293,Martina,,Cuauhtémoc,19.43644,-99.13434,Entire home/apt,1051,2,166,2019-03-26,2.17,4,292
911088,Se renta habitación en el centro,2875548,Martha,,Cuauhtémoc,19.4245,-99.13802,Private room,1281,1,0,,,1,365
913084,15 blocks from Paseo de la Reforma,4647293,Martina,,Miguel Hidalgo,19.43982,-99.17104,Entire home/apt,344,1,107,2018-11-17,1.44,4,296
931771,"Room in Mexico City, Coyoacan.",5019262,Bruni,,Coyoacán,19.32667,-99.14259,Private room,268,1,0,,,1,365
935443,Rent my room! ,3535869,Luis,,Benito Juárez,19.40019,-99.14515,Private room,210,3,0,,,1,365
939721,Radiant Apartment with Terrace in Roma Norte (1/4),4821807,Alex,,Cuauhtémoc,19.42121,-99.15498,Entire home/apt,1625,3,359,2019-06-15,4.75,5,278
940123,Studio Loft in Revived 18th Century Building,3285196,Juan Carlos,,Cuauhtémoc,19.43245,-99.13868,Entire home/apt,1243,2,266,2019-06-07,3.51,7,262
958470,Studio with Bath in Etiopia,5215017,Javier,,Benito Juárez,19.39332,-99.16233,Shared room,24298,1,0,,,1,365
975956,Turtle's Room in the South of DF,1007762,Jose,,Coyoacán,19.30843,-99.16942,Private room,1912,1,0,,,1,365
980600,HABITACION CON BAÑO IND AEROPUERTO ,4157866,,,Venustiano Carranza,19.41583,-99.08718,Private room,382,1,43,2019-05-19,0.66,2,5
983282,Nice Room at Roma-Condesa,3312792,Víctor,,Cuauhtémoc,19.40235,-99.16358,Private room,612,1,24,2019-06-17,4.59,1,365
997247,NEW! HISTORIC BUILDING -BEST STREET,5479592,Lorenzo,,Cuauhtémoc,19.41612,-99.16015,Entire home/apt,1759,2,301,2019-06-09,4.05,1,0
1001517,Colonial House Downtown Coyoacan,5507751,Arlette And Fernando,,Coyoacán,19.34592,-99.1597,Entire home/apt,2275,2,63,2019-05-01,0.87,2,346
1007174,Private en suite in City house ,5540061,Julian,,Cuauhtémoc,19.43918,-99.15518,Private room,765,2,9,2017-10-01,0.12,1,365
1011428,PLAZA DEL ARCÁNGEL EN SAN ÁNGEL,5307709,Rosa María,,Álvaro Obregón,19.34377,-99.19288,Entire home/apt,5926,7,12,2019-04-21,0.16,1,274
1013504,"OASIS IN COYOACAN, SHARED HOUSE",1664327,Edoardo & Maria,,Coyoacán,19.33983,-99.18266,Private room,306,2,38,2019-04-15,0.56,2,300
1019309,"Location Polanco, close to plaza Carso and Antara",3151394,Monica,,Miguel Hidalgo,19.4437,-99.20217,Entire home/apt,994,5,53,2019-05-23,0.91,1,358
1022380,Feel the Magic of Mexico City from this Duplex Loft,3285196,Juan Carlos,,Cuauhtémoc,19.43234,-99.13881,Entire home/apt,1778,3,257,2019-05-16,3.41,7,342
1051636,Chilango chic: room in cozy apartment Condesa DF,1809694,Deborah,,Cuauhtémoc,19.40738,-99.16861,Private room,746,2,23,2018-11-20,0.32,1,364
